work;separation;partner;marriage;children
;;19;20;22
17;21;;;
;;;;
;;;21;22
17;17;;;
18;19;17;19;20
;23;;23;25
;;;;
16;17;;;
13;;;;
20;;;25;27
14;17;;22;22
15;;;20;22
21;;;;
16;16;;23;28
17;18;;22;23
14;14;;25;26
15;;;;
18;;;;
17;30;;;28
19;24;;24;25
16;12;;26;30
18;18;;22;24
22;19;22;22;23
16;15;23;23;
18;23;;23;22
15;23;;23;27
13;23;23;24;25
29;29;29;29;29
19;22;;24;26
20;17;18;19;19
19;24;;19;16
;;;;
18;;;22;23
20;25;25;28;29
16;20;23;25;26
17;;;21;21
24;19;20;;
19;17;;21;22
18;21;22;22;23
;26;;19;19
;;;;
16;;19;21;23
19;17;17;19;24
18;;;22;24
18;;;;
;22;;20;22
18;22;;22;23
23;16;32;32;33
;;;;
;18;;28;30
16;19;19;;20
23;;;;
17;15;;35;
17;;18;19;19
17;17;17;17;17
18;;;;
18;15;;21;22
17;19;30;24;26
21;;;24;25
16;16;19;20;20
18;16;;22;24
22;;24;25;25
17;26;20;20;21
18;17;27;27;
18;23;22;24;24
;12;;;25
15;;;28;30
23;18;25;24;25
;;;;
15;;17;;
22;25;25;27;28
;;;22;27
;;;;
16;20;;19;22
;;;;
15;;23;22;
14;;16;18;24
21;21;22;22;
21;17;;;25
17;21;26;26;28
;21;21;24;24
20;;20;18;
20;13;20;25;
19;21;21;22;22
22;21;21;21;
16;18;;23;24
19;19;;21;23
;28;;27;29
20;17;23;23;25
21;;;;
17;17;;20;22
20;20;;20;21
19;;;;
19;18;18;22;22
21;17;;;
19;18;;;
22;;;23;26
21;21;;28;29
;;;;
22;17;;25;27
17;18;;24;24
18;19;;19;20
21;24;;19;20
;16;16;17;18
23;19;;24;24
20;19;;22;23
17;;;;
17;17;;21;22
18;27;;25;31
19;20;;;
11;18;;21;
19;17;;21;23
15;18;18;19;19
18;25;;24;25
18;18;;21;22
20;17;;;
19;15;;21;22
18;25;55;25;28
21;18;;18;
19;21;;20;22
